stock,date,volume
AA,1/14/2011,242963398
AA,1/21/2011,138428495
AA,1/28/2011,151379173
AA,1/7/2011,239655616
AA,2/11/2011,114691279
AA,2/18/2011,80023895
AA,2/25/2011,132981863
AA,2/4/2011,154387761
AA,3/11/2011,114332562
AA,3/18/2011,130374108
AA,3/25/2011,95550392
AA,3/4/2011,109493077
AA,4/1/2011,103320396
AA,4/15/2011,213061090
AA,4/21/2011,85235391
AA,4/29/2011,90831895
AA,4/8/2011,129237024
AA,5/13/2011,111630753
AA,5/20/2011,118281015
AA,5/27/2011,77236662
AA,5/6/2011,225053559
AA,6/10/2011,94970970
AA,6/17/2011,111273573
AA,6/24/2011,99423717
AA,6/3/2011,77152591
AXP,1/14/2011,25913713
AXP,1/21/2011,38824728
AXP,1/28/2011,51427274
AXP,1/7/2011,45102042
AXP,2/11/2011,43746998
AXP,2/18/2011,28564910
AXP,2/25/2011,39654146
AXP,2/4/2011,39501680
AXP,3/11/2011,37613429
AXP,3/18/2011,41757526
AXP,3/25/2011,30798332
AXP,3/4/2011,38985037
AXP,4/1/2011,28738689
AXP,4/15/2011,29090940
AXP,4/21/2011,22929313
AXP,4/29/2011,32470319
AXP,4/8/2011,31114741
AXP,5/13/2011,35427164
AXP,5/20/2011,36565612
AXP,5/27/2011,26359875
AXP,5/6/2011,43997724
AXP,6/10/2011,33828918
AXP,6/17/2011,37705374
AXP,6/24/2011,34877916
AXP,6/3/2011,25215640
BA,1/14/2011,18834664
BA,1/21/2011,29594221
BA,1/28/2011,34929673
BA,1/7/2011,36258120
BA,2/11/2011,21809411
BA,2/18/2011,15989248
BA,2/25/2011,26258425
BA,2/4/2011,22770062
BA,3/11/2011,25556296
BA,3/18/2011,29746370
BA,3/25/2011,24423545
BA,3/4/2011,27527285
BA,4/1/2011,20590618
BA,4/15/2011,19492289
BA,4/21/2011,16947409
BA,4/29/2011,30503034
BA,4/8/2011,21220138
BA,5/13/2011,18368201
BA,5/20/2011,19990094
BA,5/27/2011,15886795
BA,5/6/2011,25394946
BA,6/10/2011,18574466
BA,6/17/2011,25381159
BA,6/24/2011,30675314
BA,6/3/2011,17813730
BAC,1/14/2011,760935694
BAC,1/21/2011,982445809
BAC,1/28/2011,1054415375
BAC,1/7/2011,1453438639
BAC,2/11/2011,746465458
BAC,2/18/2011,458423511
BAC,2/25/2011,712456757
BAC,2/4/2011,757192224
BAC,3/11/2011,805210688
BAC,3/18/2011,792380862
BAC,3/25/2011,717678994
BAC,3/4/2011,699671790
BAC,4/1/2011,499672763
BAC,4/15/2011,670594575
BAC,4/21/2011,624897506
BAC,4/29/2011,557530217
BAC,4/8/2011,480033181
BAC,5/13/2011,623724296
BAC,5/20/2011,658968285
BAC,5/27/2011,479389107
BAC,5/6/2011,577232010
BAC,6/10/2011,873241317
BAC,6/17/2011,889460755
BAC,6/24/2011,603098073
