GOID	GO term	Frequency	Genome Frequency	Gene(s)
8150	 biological process unknown	117 out of 474 genes, 24.7%	1050 of 6338 genes, 16.6%	YAL064W,YAR029W,YAR068W,YBL029W,ECM13,YBL071C,YBL109W,YBL111C,YBL112C,YBL113C,DSF2,OLA1,ICS2,YCL065W,YCR041W,HMRA2,YDL034W,BSC1,STP4,YDL114W,YDL176W,YDL242W,YDR133C,YDR134C,MRX10,YDR286C,YDR366C,APT2,YDR442W,YDR535C,YDR543C,YDR544C,IRC22,DSF1,YEL074W,YEL075C,YEL076C,YER034W,YER189W,MIL1,YFL064C,YGL034C,TOS8,YGL159W,YPS5,YGR127W,ECL1,YGR149W,YHL017W,YHL041W,YHL045W,PAU13,YHL049C,YHR022C,FYV4,YHR145C,YIL012W,HXT12,YIL171W,YIL174W,YIL175W,YIL177C,YIR014W,YIR020C,YIR040C,PAU15,SET4,YJL107C,PRM10,YJL213W,REE1,YJL225C,YJR149W,YJR157W,YKL044W,CUE2,YKL091C,YKR075C,ESL2,YLL065W,YLL066C,YLL067C,YLR042C,YLR296W,INA1,YLR460C,PAU4,YLR462W,YLR463C,YLR464W,BSC3,YML131W,YML133C,YIM2,YMR324C,PAU19,YNL040W,YNL337W,YNL338W,YNR061C,PAU6,YOL160W,PAU20,YOR050C,YOR268C,YOR318C,YPL197C,ERR2,PAU22,CMR3,YPR027C,YPR109W,YPR126C,YPR127W,YPR130C,YPR202W,YPR203W
6366	 transcription from RNA polymerase II promoter	65 out of 474 genes, 13.7%	484 of 6338 genes, 7.6%	CLN3,GPB2,REG2,SMP1,HMLALPHA1,HMLALPHA2,MATALPHA2,MATALPHA1,HCM1,BUD30,UGA3,PRR2,GAL3,NRG1,PCF11,YAP6,RSC3,YHP1,EMI2,MIG3,ACA1,RTR1,RAD4,PDR1,MIG1,SUT1,MIG2,RIM101,MED6,VHR1,XBP1,RPI1,POG1,YAP5,ZAP1,GZF3,IME1,IXR1,RGT1,PHD1,HAP4,KTI12,DAL80,RSC2,GAL80,DAT1,GAT2,RGM1,RNT1,FCP1,PHO23,SKO1,SIN4,CAF40,AZF1,SFL1,SYC1,RLM1,CUP9,USV1,GAL4,TFB4,ROX1,SPN1,ARR1
42221	 response to chemical	44 out of 474 genes, 9.3%	439 of 6338 genes, 6.9%	GPB2,GAL1,FES1,PBN1,HCM1,STE7,UGA3,PRR2,RRI1,HBT1,GAL3,NRG1,GRX3,ACL4,YPR1,HPA3,MIG3,PDR1,MIG1,MF(ALPHA)2,SUT1,MIG2,RIM101,SSM4,VHR1,XBP1,POG1,YAP5,GZF3,IXR1,YKL069W,HAP4,STE3,DAL80,FPS1,MLF3,BDS1,AZF1,PDR5,MF(ALPHA)1,OXR1,USV1,GAL4,ARR1
5975	 carbohydrate metabolic process	27 out of 474 genes, 5.7%	255 of 6338 genes, 4.0%	GAL7,GAL10,GAL1,SOR2,GAL3,INM2,YPR1,UTR2,PCM1,MNN1,PCL10,AMS1,CAX4,DOG2,SGA1,SUC2,IMA3,IMA5,IMA4,SOR1,RGT1,GAL80,GID8,PPG1,IMA2,GAC1,GAL4
7005	 mitochondrion organization	25 out of 474 genes, 5.3%	419 of 6338 genes, 6.6%	HCM1,MSS2,ATG20,CRD1,ATG9,SED1,UPS3,IRC3,YMR31,SHY1,AIM17,MSR1,MDM31,RSM26,COX12,XDJ1,ATP14,IMP1,SUN4,MSK1,TPM1,TIM23,IFM1,YOR019W,MSF1
51321	 meiotic cell cycle	22 out of 474 genes, 4.6%	278 of 6338 genes, 4.4%	GPB2,CDC15,MUM2,RDH54,BUD30,EMI2,SPO73,SHC1,HOP2,RCK1,RIM4,RIM101,IME2,IME1,CWP1,YCS4,SPO20,RIM21,GAC1,SPS4,MSC6,IPL1
7010	 cytoskeleton organization	21 out of 474 genes, 4.4%	236 of 6338 genes, 3.7%	CDC15,STU1,SYP1,HCM1,AIM7,GRX3,SAC6,CDC37,GIC2,MYO1,PRK1,RHO3,BNR1,MHP1,TPM1,MSB3,SSK2,AVO1,LAS17,BEM4,IPL1
33043	 regulation of organelle organization	21 out of 474 genes, 4.4%	288 of 6338 genes, 4.5%	CDC15,AIM7,GIC2,RCK1,XBP1,RHO3,BNR1,YAP5,MHP1,IME2,IME1,YCS4,PEP5,NIS1,PHO23,ORC5,RIM21,SSK2,GAC1,LAS17,IPL1
55085	 transmembrane transport	21 out of 474 genes, 4.4%	238 of 6338 genes, 3.8%	PET9,TAT1,SUL1,FEN2,UGA4,HXT15,MPH2,ENA1,HXT6,HXT3,STL1,HXT13,YFL054C,SUT1,PEX18,GEX2,XDJ1,ATP14,FET4,TIM23,SRP68
6605	 protein targeting	21 out of 474 genes, 4.4%	302 of 6338 genes, 4.8%	NUP60,ATG20,IWR1,ATG9,COS4,COG2,APL6,COS8,PEX18,EGD2,NUP85,XDJ1,COG8,COS3,IMP1,COG6,COS1,ACC1,TIM23,IPL1,SRP68
