gid	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
YDL175C	0.4761038	0.2489243	0.2847855	0.3603133	0.3738081	0.4127938	0.4067466	0.3685538	0.3607345	0.3617752	0.3645885	0.7617485	0.6517417	0.449688	0.4049366	0.3487012	0.3441254	0.3706069	0.4379046	0.4396603	0.3606906
YDR501W	0.6741919	0.254086	0.1057907	0.0500328	0.0494668	0.0571189	0.0542585	0.0724153	0.0625841	0.0379003	0.0569583	0.7663946	0.9278731	0.9043837	0.8953327	0.743874	0.8786919	0.8214806	0.8675315	0.8268888	0.9371799
YDL113C	0.6568345	0.6070526	0.1783872	0.0718417	0.0283196	0.00925	0.0210465	0.0148949	0.0176067	0.0057485	0.0102153	0.0966637	0.5843498	0.7558248	0.7788967	0.7256879	0.6854538	0.6552144	0.6649271	0.7039647	0.7340532
YGL113W	0.4150913	0.6269694	0.65309	0.7394686	0.6909598	0.6735222	0.6430236	0.6154635	0.6270526	0.6506692	0.6938888	0.2879057	0.4106123	0.4584897	0.4819669	0.4525465	0.3945875	0.4108861	0.3941619	0.3915193	0.3963608
YJR042W	0.0983074	0.1598797	0.6106449	0.9238122	0.965879	0.9710695	0.950797	1.0157321	1.0101566	0.9054042	0.8960461	0.6769672	0.3316464	0.1427429	0.0995929	0.0942311	0.0861208	0.0777075	0.087081	0.1070337	0.1094171
YNR058W	0.5575517	0.6042784	0.8006771	1.016223	0.9443717	0.9811905	0.9899525	1.055366	1.0482833	1.0673852	1.0235495	0.9483815	0.6766659	0.4549483	0.4656744	0.5471352	0.5856842	0.5608958	0.579916	0.479179	0.4893647
YDR168W	0.3951431	0.4206574	0.5979552	0.7558984	0.8438473	0.9646702	0.9865569	0.9383841	0.908602	0.8918731	0.865531	0.6430832	0.4134429	0.3057094	0.2963757	0.2795386	0.3002957	0.325545	0.3461557	0.3992847	0.334852
YDR063W	0.4447788	0.6146524	0.857659	0.8977592	1.0637303	1.0001263	0.8992945	0.9820369	0.953588	0.9182006	0.9778798	0.946142	0.7210751	0.5060422	0.4616978	0.4723684	0.5012698	0.4490797	0.524873	0.4561164	0.4216509
YPR130C	0.4181241	0.3936809	0.1222135	0.0368976	0.0215719	0.0351115	0.0246085	0.0273056	0.0210463	0.0383963	0.025239	0.1067222	0.3104484	0.4840429	0.4812287	0.4564539	0.4136204	0.437621	0.3904738	0.3785243	0.4243948
YKL108W	0.5571202	0.4975652	0.2893312	0.1284593	0.0648828	0.0331663	0.0270048	0.0261994	0.0206314	0.0416884	0.0443709	0.1231704	0.3079052	0.4120156	0.5252909	0.5560722	0.5316864	0.5019047	0.5611125	0.5617726	0.4721791
YGR261C	0.0638725	0.0134174	0.0151356	0.0462541	0.1244165	0.1273159	0.1209165	0.2073083	0.1393174	0.1424449	0.2148909	0.1142523	0.1137299	0.0516194	0.0578905	0.036853	0.0574661	0.0704242	0.0653645	0.0505844	0.0538175
YPR047W	1.0495688	1.0509002	0.5192048	0.2936122	0.2274973	0.2448441	0.2562917	0.3360972	0.2198054	0.2638239	0.2970322	0.6705788	0.9473372	1.0062274	0.9683307	1.0399948	0.9086863	1.0266033	0.9501298	0.9850669	0.9162094
YMR110C	0.4837799	0.3315935	0.1091354	0.0393071	0.0273624	0.0269733	0.0230366	0.0218591	0.0223289	0.0204218	0.0133269	0.1555836	0.4247054	0.5087476	0.6649428	0.5369575	0.542423	0.5192398	0.4898719	0.5572931	0.5816694
YDR235W	0.6880857	0.6895276	0.605946	0.5831263	0.6151921	0.5903249	0.5401219	0.5839562	0.5882602	0.4722352	0.5662065	0.2629471	0.7242349	0.7980639	0.7790024	0.7456202	0.761609	0.6754643	0.7602318	0.6489194	0.7404211
YNR061C	0.0863576	0.0752288	0.1436797	0.7080908	0.9017386	0.9227897	0.9351828	0.8993971	1.014492	0.9159187	0.968582	0.4085378	0.1410264	0.092919	0.0634545	0.0854517	0.0827322	0.0663737	0.0888769	0.0894834	0.0502105
YER104W	0.3984425	0.5304183	0.7432833	0.8360886	0.9529464	0.9348039	0.8068236	1.0228948	0.9672203	0.9470513	0.9815491	0.6324222	0.5160301	0.4105656	0.3718352	0.4039553	0.3762861	0.417039	0.4311528	0.4751731	0.4370689
YPR133C	0.3142776	0.2087857	0.3521268	0.4290396	0.4972999	0.5137855	0.4364957	0.5277531	0.4789939	0.5198251	0.4053327	0.6351519	0.3175308	0.3120675	0.2768716	0.304871	0.2582667	0.285395	0.3243434	0.2805314	0.3080786
